method,percentage,value,change
pagerank,0.25,556.6914484451867,-48.260348559347385
pagerank,0.30000000000000004,500.3737177039322,-53.49459414838832
pagerank,0.35000000000000003,450.21447157254045,-58.15646190046616
pagerank,0.4,405.56388043352433,-62.306347853634804
pagerank,0.45,366.0923833592245,-65.9748818434579
pagerank,0.5,332.4247616628063,-69.10399585495136
pagerank,0.55,305.1501223522441,-71.63893749100374
random,0.0,1509.0040785886158,-1.618281427406037e-11
random,0.05,1433.8139980552794,-4.982761915653294
random,0.1,1358.1928100200341,-9.994092839686457
random,0.15000000000000002,1282.7222463505384,-14.995442056719178
random,0.2,1207.137510676282,-20.00435732386273
random,0.25,1131.530221687251,-25.01476717376419
random,0.30000000000000004,1056.1149533782059,-30.01245202956455
random,0.35000000000000003,980.5262731238822,-35.02162869958456
random,0.4,905.0121459196853,-40.0258648229762
random,0.45,829.7358331392381,-45.014341252466146
random,0.5,754.41432142211,-50.00581296456151
random,0.55,678.9885400903593,-55.00419450653088
eigenvector,0.0,1509.0040785875308,-8.80863428735167e-11
eigenvector,0.05,1239.8509812522752,-17.836472489079178
eigenvector,0.1,1086.5562990130034,-27.995138354490553
eigenvector,0.15000000000000002,997.7702549012415,-33.87888945705813
eigenvector,0.2,910.8210513705916,-39.640915203997146
eigenvector,0.25,790.7285288328114,-47.59931135691439
eigenvector,0.30000000000000004,776.6840943255941,-48.53002020697601
eigenvector,0.35000000000000003,776.6833703734203,-48.53006818247084
eigenvector,0.4,776.68313848751,-48.53008354928885
eigenvector,0.45,776.683017603644,-48.530091560126436
eigenvector,0.5,776.6828149836794,-48.53010498752319
eigenvector,0.55,776.6825044906166,-48.53012556354861
pagerank,0.0,1509.004078586886,-1.3081861594729251e-10
pagerank,0.05,1382.5293366703022,-8.38133864004067
pagerank,0.1,1274.6360670533752,-15.531304047544605
pagerank,0.15000000000000002,1178.0293379406983,-21.933323133074076
pagerank,0.2,1086.7182943530884,-27.98440310583327
pagerank,0.25,999.4023568693005,-33.77073189862494
pagerank,0.30000000000000004,912.6525808324607,-39.51954181025643
pagerank,0.35000000000000003,826.4405106784642,-45.23271855889831
pagerank,0.4,738.4606669652314,-51.063043669451154
pagerank,0.45,648.5256011931224,-57.02293914277628
pagerank,0.5,554.6237656562524,-63.24570797880766
pagerank,0.55,458.7804311523388,-69.59713776377824
random,0.0,1601.4960440974824,8.18064535803017e-11
random,0.05,1521.5475643361724,-4.992112222488812
random,0.1,1441.4925336853512,-9.990877654719489
random,0.15000000000000002,1361.395417174378,-14.992270996042233
random,0.2,1281.5183965056303,-19.979921197440483
random,0.25,1201.648155141552,-24.967148088104096
random,0.30000000000000004,1121.6309018963277,-29.96355463810486
random,0.35000000000000003,1041.6419047515465,-34.95819683154994
random,0.4,961.6243766636642,-39.95462054317024
random,0.45,881.767703858814,-44.94100019107743
random,0.5,801.6663194924752,-49.94266002418337
random,0.55,721.5022089986594,-54.94823657801479
eigenvector,0.0,1601.4960440969298,4.730633518388845e-11
eigenvector,0.05,1318.3724257077724,-17.678696081212287
eigenvector,0.1,1145.3947090630297,-28.479704131304928
eigenvector,0.15000000000000002,1026.7798948805996,-35.886204735517914
eigenvector,0.2,926.2604098099125,-42.16280375936482
eigenvector,0.25,818.3225341546107,-48.90261907475126
eigenvector,0.30000000000000004,818.2799059586062,-48.90528084817003
eigenvector,0.35000000000000003,818.2790090305605,-48.90533685380608
eigenvector,0.4,818.2786829786731,-48.905357213012614
eigenvector,0.45,818.2785127740405,-48.90536784086483
eigenvector,0.5,818.2783775038736,-48.90537628735255
eigenvector,0.55,818.2781032081093,-48.905393414823166
pagerank,0.0,1601.496044097755,9.882935150511629e-11
pagerank,0.05,1463.0529193644547,-8.644612344943374
pagerank,0.1,1341.3941248903313,-16.241183995720277
pagerank,0.15000000000000002,1232.6127049675501,-23.03367157780317
pagerank,0.2,1131.0147951932763,-29.37760918219557
pagerank,0.25,1034.3490365829523,-35.41357530066817
pagerank,0.30000000000000004,941.2167493492906,-41.22890575852281
pagerank,0.35000000000000003,849.5846612967262,-46.95056135613486
pagerank,0.4,758.6361343735396,-52.62953429262531
pagerank,0.45,668.1954898677097,-58.27679423055861
pagerank,0.5,578.8269607547547,-63.85710955149912
pagerank,0.55,496.0857130668185,-69.02360671475827
random,0.0,1559.5549583561346,-2.1140122547533172e-11
random,0.05,1481.956862519035,-4.975656383357342
random,0.1,1404.0210690960303,-9.972966225207179
random,0.15000000000000002,1325.9867334476446,-14.976594678969532
random,0.2,1248.1039120514488,-19.970507909079267
random,0.25,1170.1767708411028,-24.96726296364108
random,0.30000000000000004,1092.238358809473,-29.964740712919312
random,0.35000000000000003,1014.3261079555118,-34.960540985073166
random,0.4,936.2706503855738,-39.9655237945406
random,0.45,858.307859670753,-44.964564725870254
random,0.5,780.4088276513701,-49.95951739502638
random,0.55,702.5225436951113,-54.95365264745373
eigenvector,0.0,1559.5549583564004,-4.096809955763325e-12
eigenvector,0.05,1293.5572189250943,-17.056002932509127
eigenvector,0.1,1130.627073545382,-27.503223436454437
eigenvector,0.15000000000000002,1020.574715652854,-34.55987490633957
eigenvector,0.2,934.211521733788,-40.0975568877479
eigenvector,0.25,840.5765297376938,-46.101512791602126
eigenvector,0.30000000000000004,728.6038570217047,-53.28129649310061
eigenvector,0.35000000000000003,692.4968636069697,-55.596507843701964
eigenvector,0.4,692.4960411763586,-55.59656057865732
eigenvector,0.45,692.4958193962535,-55.59657479938767
eigenvector,0.5,692.4957009670928,-55.596582393166905
eigenvector,0.55,692.4955750593567,-55.59659046647881
pagerank,0.0,1559.554958356263,-1.2917343846285787e-11
pagerank,0.05,1427.8547491135942,-8.444730244175707
pagerank,0.1,1317.9486353085485,-15.492004417884216
pagerank,0.15000000000000002,1222.9756374490862,-21.581754403966755
pagerank,0.2,1136.7633378622265,-27.109760911522887
pagerank,0.25,1054.768120585752,-32.36736448856419
pagerank,0.30000000000000004,974.3115562414456,-37.52630832143146
pagerank,0.35000000000000003,893.9343144566132,-42.680165923829634
pagerank,0.4,811.5437834383843,-47.96311735665738
pagerank,0.45,726.3242591274147,-53.42746626301321
pagerank,0.5,637.5034035831461,-59.12273561330736
pagerank,0.55,542.6949361730555,-65.20193576602301
